text,label
"To be fair, this game was rude and unhelpful.",negative
"In my opinion, the meeting was way below my expectations.",negative
"In my opinion, this app had some good points and some drawbacks.",neutral
"Overall, the presentation exceeded all my expectations.",positive
"Honestly, this album was a wonderful experience overall.",positive
"Frankly, the phone made the whole experience miserable.",negative
"To be fair, the tutorial deserves five stars, no question.",positive
"In my opinion, the food was a routine, unremarkable experience.",neutral
"Overall, this game is honestly one of the best i've come across.",positive
"In my opinion, the neighborhood was handled with great care and professionalism.",positive
The flight left me feeling very satisfied.,positive
"Frankly, the event was released on schedule as planned.",neutral
"Frankly, the software update brought a smile to my face.",positive
"In my opinion, the class left me frustrated and annoyed.",negative
The product made me really happy.,positive
"In my opinion, the class was delayed with zero communication.",negative
"In my opinion, this game will probably be updated again next quarter.",neutral
"Frankly, the product worked perfectly and saved me a lot of time.",positive
"In my opinion, the event was rude and unhelpful.",negative
"Overall, the delivery was acceptable given the price.",neutral
"To be fair, the food is fine for occasional use.",neutral
"In my opinion, the team deserves five stars, no question.",positive
"To be fair, the manager did the job, though it could be improved.",neutral
"Overall, the service was a routine, unremarkable experience.",neutral
This game was well worth the money.,positive
"Honestly, the website was a routine, unremarkable experience.",neutral
This movie brought a smile to my face.,positive
"The product deserves five stars, no question.",positive
The meeting left me feeling very satisfied.,positive
"Overall, the phone did not work as advertised at all.",negative
"To be fair, the delivery broke down after just one use.",negative
"Overall, the customer support met the basic requirements but nothing more.",neutral
"In my opinion, the customer support was neither great nor terrible.",neutral
"Honestly, the class worked perfectly and saved me a lot of time.",positive
"Frankly, this laptop left me feeling very satisfied.",positive
"To be fair, the service was rude and unhelpful.",negative
"Honestly, this course was average compared to similar options.",neutral
"Frankly, the new policy was smooth, fast, and reliable.",positive
"Frankly, the car had some good points and some drawbacks.",neutral
"The presentation was about what i expected, no surprises.",neutral
"In my opinion, this app was neither great nor terrible.",neutral
"Overall, this book was okay, nothing special.",neutral
"Overall, this recipe was way below my expectations.",negative
This course was way below my expectations.,negative
"To be fair, the neighborhood is a standard option without anything unique.",neutral
"Overall, this game left me frustrated and annoyed.",negative
"Frankly, the hotel room worked perfectly and saved me a lot of time.",positive
"Frankly, the customer support impressed everyone in the room.",positive
